"X10278_2014_6","X0"
"1","10278_2014_6",0.21374
"2","10278_2014_7",0.21374
"3","11034_2014_6",0.21374
"4","11034_2014_7",0.21374
"5","11270_2014_6",0.21374
"6","11270_2014_7",0.21374
"7","11274_2014_6",0.21374
"8","11274_2014_7",0.21374
"9","11302_2014_6",0.21374
"10","11302_2014_7",0.21374
"11","11331_2014_7",0.21374
"12","11343_2014_6",0.21374
"13","11343_2014_7",0.21374
"14","11345_2014_6",0.21374
"15","11345_2014_7",0.21374
"16","11385_2014_6",0.21374
"17","11385_2014_7",0.21374
"18","11430_2014_7",0.21374
"19","11436_2014_7",0.21374
"20","11502_2014_6",0.21374
"21","11511_2014_6",0.21374
"22","11511_2014_7",0.21374
"23","11521_2014_6",0.21374
"24","11521_2014_7",0.21374
"25","11534_2014_6",0.21374
"26","11534_2014_7",0.21374
"27","11549_2014_6",0.21374
"28","11549_2014_7",0.21374
"29","11558_2014_6",0.21374
"30","11558_2014_7",0.21374
"31","11584_2014_6",0.21374
"32","11584_2014_7",0.21374
"33","11585_2014_7",0.21374
"34","11622_2014_6",0.21374
"35","11622_2014_7",0.21374
"36","11635_2014_6",0.21374
"37","11635_2014_7",0.21374
"38","11652_2014_6",0.21374
"39","11652_2014_7",0.21374
"40","11686_2014_6",0.21374
"41","11686_2014_7",0.21374
"42","11726_2014_6",0.21374
"43","11728_2014_6",0.21374
"44","11728_2014_7",0.21374
"45","11747_2014_6",0.21374
"46","11747_2014_7",0.21374
"47","11749_2014_6",0.21374
"48","11752_2014_6",0.21374
"49","11763_2014_6",0.21374
"50","11763_2014_7",0.21374
"51","11771_2014_6",0.21374
"52","11771_2014_7",0.21374
"53","11795_2014_7",0.21374
"54","11802_2014_6",0.21374
"55","11802_2014_7",0.21374
"56","11857_2014_6",0.21374
"57","11857_2014_7",0.21374
"58","11877_2014_7",0.21374
"59","11917_2014_6",0.21374
"60","11983_2014_6",0.21374
"61","11983_2014_7",0.21374
"62","11992_2014_6",0.21374
"63","11992_2014_7",0.21374
"64","12042_2014_6",0.21374
"65","12042_2014_7",0.21374
"66","12049_2014_6",0.21374
"67","12049_2014_7",0.21374
"68","12055_2014_6",0.21374
"69","12055_2014_7",0.21374
"70","12068_2014_6",0.21374
"71","12068_2014_7",0.21374
"72","12075_2014_6",0.21374
"73","12075_2014_7",0.21374
"74","12095_2014_6",0.21374
"75","12095_2014_7",0.21374
"76","12100_2014_6",0.21374
"77","12100_2014_7",0.21374
"78","12101_2014_6",0.21374
"79","12101_2014_7",0.21374
"80","12102_2014_6",0.21374
"81","12102_2014_7",0.21374
"82","12107_2014_6",0.21374
"83","12107_2014_7",0.21374
"84","12111_2014_6",0.21374
"85","12111_2014_7",0.21374
"86","12113_2014_6",0.21374
"87","12113_2014_7",0.21374
"88","12127_2014_6",0.21374
"89","12127_2014_7",0.21374
"90","12129_2014_6",0.21374
"91","12129_2014_7",0.21374
"92","12179_2014_6",0.21374
"93","12179_2014_7",0.21374
"94","12186_2014_6",0.21374
"95","12186_2014_7",0.21374
"96","12189_2014_6",0.21374
"97","12189_2014_7",0.21374
"98","12191_2014_6",0.21374
"99","12191_2014_7",0.21374
"100","20124_2014_7",0.21374
"101","20127_2014_6",0.21374
"102","20127_2014_7",0.21374
"103","20143_2014_6",0.21374
"104","20143_2014_7",0.21374
"105","20179_2014_6",0.21374
"106","20179_2014_7",0.21374
"107","20182_2014_6",0.21374
"108","20182_2014_7",0.21374
"109","20183_2014_6",0.21374
"110","20183_2014_7",0.21374
"111","20185_2014_6",0.21374
"112","20185_2014_7",0.21374
"113","20191_2014_6",0.21374
"114","20191_2014_7",0.21374
"115","20192_2014_6",0.21374
"116","20192_2014_7",0.21374
"117","20199_2014_6",0.21374
"118","20199_2014_7",0.21374
"119","20218_2014_6",0.21374
"120","20218_2014_7",0.21374
"121","20219_2014_6",0.21374
"122","20219_2014_7",0.21374
"123","20225_2014_6",0.21374
"124","20225_2014_7",0.21374
"125","20227_2014_7",0.21374
"126","300363_2014_6",0.21374
"127","300592_2014_7",0.21374
"128","300952_2014_6",0.21374
"129","300952_2014_7",0.21374
"130","400001_2014_6",0.21374
"131","400001_2014_7",0.21374
"132","400006_2014_6",0.21374
"133","400010_2014_7",0.21374
"134","400025_2014_6",0.21374
"135","400026_2014_6",0.21374
"136","400026_2014_7",0.21374
"137","400028_2014_7",0.21374
"138","400040_2014_6",0.21374
"139","400040_2014_7",0.21374
"140","400057_2014_6",0.21374
"141","400057_2014_7",0.21374
"142","400065_2014_7",0.21374
"143","400280_2014_6",0.21374
"144","400280_2014_7",0.21374
"145","400404_2014_7",0.21374
"146","400616_2014_6",0.21374
"147","400652_2014_6",0.21374
"148","500012_2014_6",0.21374
"149","500012_2014_7",0.21374
"150","500014_2014_6",0.21374
"151","500019_2014_6",0.21374
"152","500019_2014_7",0.21374
"153","500025_2014_6",0.21374
"154","500025_2014_7",0.21374
"155","500026_2014_6",0.21374
"156","500026_2014_7",0.21374
"157","500027_2014_6",0.21374
"158","500036_2014_6",0.21374
"159","500036_2014_7",0.21374
"160","500037_2014_6",0.21374
"161","500037_2014_7",0.21374
"162","500038_2014_6",0.21374
"163","500038_2014_7",0.21374
"164","500039_2014_6",0.21374
"165","500039_2014_7",0.21374
"166","500040_2014_6",0.21374
"167","500051_2014_6",0.21374
"168","500051_2014_7",0.21374
"169","500052_2014_6",0.21374
"170","500052_2014_7",0.21374
"171","500068_2014_6",0.21374
