"ID","monthdata"
"1","10029_2014_6",0.21374
"2","10029_2014_7",0.21374
"3","10029_2014_6",0.21374
"4","10029_2014_7",0.21374
"5","10029_2014_6",0.21374
"6","10029_2014_7",0.21374
"7","10029_2014_6",0.21374
"8","10029_2014_7",0.21374
"9","10029_2014_6",0.21374
"10","10029_2014_7",0.21374
"11","10029_2014_6",0.21374
"12","10029_2014_7",0.21374
"13","10029_2014_6",0.21374
"14","10029_2014_7",0.21374
"15","10029_2014_6",0.21374
"16","10029_2014_7",0.21374
"17","10029_2014_6",0.21374
"18","10029_2014_7",0.21374
"19","10029_2014_6",0.21374
"20","10029_2014_7",0.21374
"21","10029_2014_6",0.21374
"22","10029_2014_7",0.21374
"23","10029_2014_6",0.21374
"24","10029_2014_7",0.21374
"25","10029_2014_6",0.21374
"26","10029_2014_7",0.21374
"27","10029_2014_6",0.21374
"28","10029_2014_7",0.21374
"29","10029_2014_6",0.21374
"30","10029_2014_7",0.21374
"31","10029_2014_6",0.21374
"32","10029_2014_7",0.21374
"33","10029_2014_6",0.21374
"34","10029_2014_7",0.21374
"35","10029_2014_6",0.21374
"36","10029_2014_7",0.21374
"37","10029_2014_6",0.21374
"38","10029_2014_7",0.21374
"39","10029_2014_6",0.21374
"40","10029_2014_7",0.21374
"41","10029_2014_6",0.21374
"42","10029_2014_7",0.21374
"43","10029_2014_6",0.21374
"44","10029_2014_7",0.21374
"45","10029_2014_6",0.21374
"46","10029_2014_7",0.21374
"47","10029_2014_6",0.21374
"48","10029_2014_7",0.21374
"49","10029_2014_6",0.21374
"50","10029_2014_7",0.21374
"51","10029_2014_6",0.21374
"52","10029_2014_7",0.21374
"53","10029_2014_6",0.21374
"54","10029_2014_7",0.21374
"55","10029_2014_6",0.21374
"56","10029_2014_7",0.21374
"57","10029_2014_6",0.21374
"58","10029_2014_7",0.21374
"59","10029_2014_6",0.21374
"60","10029_2014_7",0.21374
"61","10029_2014_6",0.21374
"62","10029_2014_7",0.21374
