"年度","リーグID","チームID","打者ID","月","試合","打席","打数","得点","安打","二塁打","三塁打","本塁打","塁打","打点","三振","四球","死球","犠打","犠飛","盗塁","盗塁死","併殺打","打率","長打率","出塁率","OPS","年間通算打数","年間通算安打","年間通算打率","data.means.km.cluster"
"1",2009,1,2,10029,4,5,5,5,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,5,2,0.4,2
"2",2009,1,2,10029,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,2,0.4,2
"3",2009,1,2,10029,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,2,0.4,2
"4",2009,1,2,10029,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,2,0.4,2
"5",2009,1,2,10029,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,2,0.4,2
"6",2009,1,2,10029,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,2,0.4,2
"7",2010,2,8,10029,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"8",2010,2,8,10029,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"9",2010,2,8,10029,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"10",2010,2,8,10029,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"11",2010,2,8,10029,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"12",2010,2,8,10029,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"13",2010,2,8,10029,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"14",2011,2,8,10029,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"15",2012,2,8,10029,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,5
"16",2009,2,7,10117,4,4,11,10,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0.2,0.2,0.2,0.4,10,2,0.2,2
"17",2009,2,7,10117,5,6,13,12,0,1,1,0,0,2,1,5,0,1,0,0,0,0,0,0.0833333333333,0.166666666667,0.153846153846,0.320512820513,22,3,0.136363636363636,2
"18",2009,2,7,10117,6,5,9,7,2,1,1,0,0,2,0,2,2,0,0,0,0,0,0,0.142857142857,0.285714285714,0.333333333333,0.619047619048,29,4,0.137931034482759,2
"19",2009,2,7,10117,7,4,8,7,1,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0.142857142857,0.142857142857,0.25,0.392857142857,36,5,0.138888888888889,5
