"年度","リーグID","チームID","打者ID","月","試合","打席","打数","得点","安打","二塁打","三塁打","本塁打","塁打","打点","三振","四球","死球","犠打","犠飛","盗塁","盗塁死","併殺打","打率","長打率","出塁率","OPS","年間通算打数","年間通算安打","年間通算打率"
2009,1,2,10029,4,5,5,5,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,5,2,0.4
2009,1,2,10029,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,2,0.4
2009,1,2,10029,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,2,0.4
2009,1,2,10029,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,2,0.4
2009,1,2,10029,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,2,0.4
2009,1,2,10029,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,2,0.4
2010,2,8,10029,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA
2010,2,8,10029,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA
2010,2,8,10029,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA
2010,2,8,10029,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA
2010,2,8,10029,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA
2010,2,8,10029,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA
2010,2,8,10029,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA
2011,2,8,10029,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA
2012,2,8,10029,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA
2009,2,7,10117,4,4,11,10,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0.2,0.2,0.2,0.4,10,2,0.2
2009,2,7,10117,5,6,13,12,0,1,1,0,0,2,1,5,0,1,0,0,0,0,0,0.0833333333333,0.166666666667,0.153846153846,0.320512820513,22,3,0.136363636363636
2009,2,7,10117,6,5,9,7,2,1,1,0,0,2,0,2,2,0,0,0,0,0,0,0.142857142857,0.285714285714,0.333333333333,0.619047619048,29,4,0.137931034482759
2009,2,7,10117,7,4,8,7,1,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0.142857142857,0.142857142857,0.25,0.392857142857,36,5,0.138888888888889
2009,2,7,10117,8,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,0.128205128205128
2009,1,6,10127,4,14,20,16,0,1,0,0,0,1,1,1,3,1,0,0,0,0,0,0.0625,0.0625,0.25,0.3125,16,1,0.0625
2009,1,6,10127,5,4,4,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,19,1,0.0526315789473684
2009,1,6,10127,6,10,13,13,0,4,1,0,0,5,2,0,0,0,0,0,0,0,0,0.307692307692,0.384615384615,0.307692307692,0.692307692308,32,5,0.15625
2009,1,6,10127,7,12,10,8,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0.125,0.125,0.3,0.425,40,6,0.15
2009,1,6,10127,8,9,9,8,0,2,0,0,0,2,4,0,0,0,0,1,0,0,0,0.25,0.25,0.222222222222,0.472222222222,48,8,0.166666666666667
2009,1,6,10127,9,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,NA,NA,1,NA,48,8,0.166666666666667
2009,1,6,10127,10,1,1,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,3,1,4,49,9,0.183673469387755
2009,1,4,10175,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,1,4,10175,6,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
2009,1,4,10175,9,3,4,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.25,0.25,5,0,0
2010,1,4,10175,8,4,8,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0.125,0.125,7,0,0
